FIPS,Resp_HI
36005000100,3.174
36005000200,2.858
36005000400,2.95
36005001600,2.974
36005001900,3.994
36005002000,3.158
36005002300,4.009
36005002400,2.193
36005002500,3.762
36005002701,3.928
36005002702,3.633
36005002800,3.668
36005003100,3.471
36005003300,3.49
36005003500,3.502
36005003700,3.328
36005003800,3.11
36005003900,3.698
36005004001,3.107
36005004100,3.711
36005004200,3.445
36005004300,3.634
36005004400,3.343
36005004600,3.415
36005004800,3.52
36005005001,3.498
36005005002,3.43
36005005100,3.942
36005005200,3.238
36005005300,5.138
36005005400,3.092
36005005600,3.097
36005005902,3.914
36005006000,3.418
36005006100,3.748
36005006200,3.502
36005006300,3.75
36005006400,3.95
36005006500,3.697
36005006700,3.616
36005006800,3.653
36005006900,3.564
36005007000,3.163
36005007100,3.293
36005007200,3.349
36005007300,3.477
36005007400,3.008
36005007500,3.426
36005007600,3.621
36005007700,3.38
36005007800,3.555
36005007900,3.463
36005008300,3.498
36005008400,3.086
36005008500,3.414
36005008600,3.091
36005008700,3.332
36005008900,3.488
36005009000,2.755
36005009200,3.384
36005009300,3.13
36005009600,3.066
36005009800,3.465
36005011000,2.878
36005011502,3.453
36005011700,3.09
36005011800,2.971
36005011900,3.472
36005012101,3.108
36005012102,3.523
36005012300,3.434
36005012500,3.238
36005012701,3.361
36005012901,3.419
36005013000,3.606
36005013100,3.339
36005013200,2.528
36005013300,3.507
36005013500,3.296
36005013800,4.256
36005014100,3.466
36005014300,3.419
36005014400,2.787
36005014500,3.331
36005014701,3.555
36005014702,3.588
36005014900,3.412
36005015100,3.279
36005015200,3.296
36005015300,3.153
36005015500,3.253
36005015700,3.466
36005015800,3.052
36005015900,3.341
36005016000,3.061
36005016100,3.324
36005016200,2.881
36005016300,X
36005016400,2.957
36005016500,3.882
36005016600,3.16
36005016700,3.187
36005016900,3.309
36005017100,X
36005017300,3.633
36005017500,3.702
36005017701,3.644
36005017702,3.61
36005017901,3.912
36005017902,3.814
36005018101,3.802
36005018102,3.894
36005018301,4.29
36005018302,3.82
36005018400,2.859
36005018500,3.365
36005018900,4.174
36005019300,4.09
36005019400,3.712
36005019500,3.8
36005019700,3.814
36005019900,3.745
36005020000,2.898
36005020100,4.584
36005020200,3.008
36005020400,3.086
36005020501,5.406
36005020502,4.031
36005020601,3.005
36005020900,3.767
36005021001,3.644
36005021002,3.551
36005021100,3.885
36005021200,3.592
36005021301,5.316
36005021302,4.206
36005021501,3.864
36005021502,3.805
36005021601,3.267
36005021602,3.311
36005021700,4.36
36005021800,3.626
36005021900,3.689
36005022000,3.508
36005022101,3.959
36005022102,4.048
36005022200,2.969
36005022300,3.792
36005022401,3.532
36005022403,3.305
36005022404,3.311
36005022500,3.652
36005022701,4.238
36005022702,5.269
36005022703,4.928
36005022800,3.179
36005022901,5.164
36005022902,3.815
36005023000,3.234
36005023100,5.199
36005023200,3.042
36005023301,3.843
36005023302,4.014
