,Location,Longitude,Latitude,Borough,FIPS
0,MONTROSE AV,-73.94783100000001,40.706812,Brooklyn,360470511001000
1,GRAHAM AV,-73.945162,40.719097,Brooklyn,360470477001013
2,BROADWAY,-73.94578299999999,40.702976,Brooklyn,360470491004002
3,KINGSLAND AV,-73.940836,40.720195000000004,Brooklyn,360470477001009
4,VANDERBILT AV,-73.96979499999999,40.69344,Brooklyn,360470187001006
5,Atlantic Av,-73.992056,40.689488,Brooklyn,360470043004001
6,Atlantic Av,-73.992675,40.689883,Brooklyn,360470009002002
7,Cadman Plz West,-73.991491,40.696791,Brooklyn,360470005021000
8,LIVINGSTON ST,-73.987569,40.690251,Brooklyn,360470037001012
9,VANDERBILT AV,-73.969239,40.68965,Brooklyn,360470183001003
10,TOMPKINS AV,-73.94537700000001,40.69027,Brooklyn,360470263001001
11,TROY AV,-73.934949,40.6794,Brooklyn,360470271002001
12,FULTON ST BETWEEN FRANKLIN AV & SPENSER,-73.9554,40.6811,Brooklyn,360470227001003
13,MYRTLE AV,-73.94329499999999,40.696135,Brooklyn,360470285021001
14,MYRTLE AV,-73.95231899999999,40.695091999999995,Brooklyn,360470255002000
15,WILSON AV,-73.923621,40.699428999999995,Brooklyn,360470421003000
16,WILSON AV,-73.909371,40.691476,Brooklyn,360470437002002
17,KOSSUTH PL,-73.927549,40.692969,Brooklyn,360470395003003
18,PALMETTO ST,-73.911115,40.699353,Brooklyn,360470439003005
19,BROADWAY,-73.942323,40.700866999999995,Brooklyn,360470507001012
20,Atlantic Av,-73.87189000000001,40.681740000000005,Brooklyn,360471178001000
21,GATES AV,-73.94498,40.686923,Brooklyn,360470265002001
22,60 ST,-74.018179,40.640598,Brooklyn,360470122001000
23,60 ST,-74.009731,40.635695,Brooklyn,360470104002000
24,BAY PKWY,-73.99338900000001,40.602183000000004,Brooklyn,360470296002001
25,BAY RIDGE PKWY,-73.99574399999999,40.613347,Brooklyn,360470274002000
26,BAY RIDGE PKWY,-73.999659,40.615497999999995,Brooklyn,360470264004002
27,14 AV,-74.013562,40.610846,Brooklyn,360470170002003
28,BAY PKWY,-73.993747,40.602168,Brooklyn,360470290003000
29,NEPTUNE AV,-73.968762,40.580003999999995,Brooklyn,360470356023000
30,Coney Island Av,-73.959784,40.581814,Brooklyn,360470610032004
31,Coney Island Av,-73.9608,40.591306,Brooklyn,360470370001000
32,NOSTRAND AV,-73.94078,40.593947,Brooklyn,360470594021001
33,KINGS HWY,-73.967383,40.605416999999996,Brooklyn,360470414021000
34,AV U,-73.93753199999999,40.600981,Brooklyn,360470568001001
35,GERRITSEN AV,-73.933006,40.600058000000004,Brooklyn,360470632001002
36,ST JOHNS PL,-73.930756,40.670654,Brooklyn,360470349001000
37,ST JOHNS PL,-73.923162,40.670237,Brooklyn,360470359002001
38,Sutter Av,-73.89484200000001,40.669359,Brooklyn,360471156001001
39,Pennsylvania Av,-73.895303,40.669142,Brooklyn,360471156004003
40,Pennsylvania Av,-73.894063,40.664333,Brooklyn,360471126003003
41,AV U,-73.941684,40.600522,Brooklyn,360470566002002
42,AV Z,-73.955863,40.587719,Brooklyn,360470606001006
43,AV U,-73.907818,40.619706,Brooklyn,360470700002004
44,EMPIRE BLVD,-73.932018,40.663624,Brooklyn,360470355002001
45,SUTTER AV,-73.86981800000001,40.673154,Brooklyn,360471196004000
46,SUTTER AV,-73.888463,40.670312,Brooklyn,360471160002000
47,NEW LOTS AV,-73.891114,40.662639,Brooklyn,360471128001002
48,DUMONT AV,-73.87425999999999,40.669340999999996,Brooklyn,360471118001000
49,JAMAICA AV,-73.89703399999999,40.678278999999996,Brooklyn,360471198001000
50,Pennsylvania Av,-73.893066,40.661594,Brooklyn,360471128003003
51,NEW LOTS AV,-73.881396,40.666855,Brooklyn,360471120002003
52,NEW LOTS AV,-73.889459,40.663368,Brooklyn,360471122002003
53,GLENWOOD RD,-73.95257600000001,40.633393,Brooklyn,360470772002001
54,RALPH AV,-73.91765,40.624567,Brooklyn,360470696011001
55,FLATLANDS AV,-73.91369,40.635384,Brooklyn,360470950001000
56,EMMONS AV,-73.941036,40.58395,Brooklyn,360470608001026
57,DRIGGS AV,-73.960012,40.713715,Brooklyn,360470551002000
58,METROPOLITAN AV,-73.94923100000001,40.714141999999995,Brooklyn,360470501002001
59,DEKALB AV,-73.96066,40.690373,Brooklyn,360470193003000
60,MYRTLE AV BETWEEN EDWARDS ST & NAVY ST,-73.9781,40.69352,Brooklyn,360470029011009
61,BERGEN ST,-73.933086,40.675242,Brooklyn,360470309002000
62,ST JOHNS PL,-73.93114399999999,40.670511,Brooklyn,360470351001001
63,KINGSTON AV,-73.941361,40.677425,Brooklyn,360470311003000
64,FULTON ST,-73.97865999999999,40.687946999999994,Brooklyn,360470033002008
65,Atlantic Av,-73.866056,40.683101,Queens,360810034002005
66,GRANT AV,-73.866093,40.678598,Brooklyn,360471188002002
67,CRESCENT ST,-73.872171,40.683367,Brooklyn,360471178001000
68,GATES AV,-73.93585999999999,40.687985,Brooklyn,360470293001001
69,DEKALB AV,-73.937416,40.693049,Brooklyn,360470281001001
70,SANDS ST,-73.9834,40.699894,Brooklyn,360470023001000
71,DEKALB AV,-73.963652,40.690028000000005,Brooklyn,360470193003002
72,TOMPKINS AV,-73.946403,40.695417,Brooklyn,360470259011001
73,7 AV,-73.973259,40.677844,Brooklyn,360470161003002
74,AV M,-73.960355,40.618049,Brooklyn,360470768001009
75,MYRTLE AV,-73.97272,40.693311,Brooklyn,360470185011002
76,BERGEN ST,-73.935889,40.675394,Brooklyn,360470309002001
77,CHURCH AV,-73.914073,40.656689,Brooklyn,360470890003000
78,FOSTER AV,-73.950978,40.638519,Brooklyn,360470828002002
79,REMSEN AV,-73.92371999999999,40.65631,Brooklyn,360470882004002
80,ROCKAWAY AV,-73.908771,40.662315,Brooklyn,360470918001002
81,SARATOGA AV,-73.917328,40.668408,Brooklyn,360470900001001
82,FULTON ST,-73.90357900000001,40.677807,Brooklyn,360470367001002
83,SARATOGA AV @ PARK PLACE,-73.91705999999999,40.67134,Brooklyn,360470363002003
84,Thomas Boyland St,-73.913731,40.675194,Brooklyn,360470365011000
85,ROCKAWAY AV,-73.90718299999999,40.656156,Brooklyn,360470922001004
86,POWELL ST,-73.902754,40.665323,Brooklyn,360470910004002
87,SUTTER AV,-73.891841,40.669946,Brooklyn,360471158001001
88,SUTTER AV,-73.881381,40.671489,Brooklyn,360471164001002
89,SUTTER AV,-73.869618,40.673053,Brooklyn,360471208001003
90,AV J,-73.96486,40.624876,Brooklyn,360470530003004
91,13 AV,-73.99297,40.634325,Brooklyn,360470220002001
92,GREENPOINT AV,-73.94614200000001,40.731627,Brooklyn,360470579002011
93,MANHATTAN AV,-73.954194,40.730445,Brooklyn,360470575003002
94,KINGSLAND AV,-73.940148,40.715978,Brooklyn,360470477002007
95,NEW LOTS AV BETWEEN ASHFORD ST & WARWICK S,-73.88345,40.666109999999996,Brooklyn,360471124001005
96,FULTON ST,-73.935251,40.679686,Brooklyn,360470273003000
97,NASSAU ST,-73.982605,40.698276,Brooklyn,360470023003006
98,MYRTLE AV,-73.97940899999999,40.693422999999996,Brooklyn,360470031001001
99,Coney Island Av,-73.97199300000001,40.649777,Brooklyn,360470504002004
100,SANDS ST,-73.98321899999999,40.699683,Brooklyn,360470023003001
101,WYTHE AV,-73.964613,40.703429,Brooklyn,360470545006000
102,COLUMBIA ST,-74.002806,40.684601,Brooklyn,360470051001005
103,MALCOLM X BLVD,-73.930369,40.688998,Brooklyn,360470293001000
104,COURT ST,-73.990414,40.693351,Brooklyn,360470011001003
105,COURT ST,-73.99034,40.693501,Brooklyn,360470011001003
106,GRAHAM AV,-73.94409,40.713269,Brooklyn,360470495002000
107,GATES AV,-73.911676,40.700173,Brooklyn,360470439003000
108,CROPSEY AV,-73.990466,40.588817,Brooklyn,360470314003001
109,LORRAINE ST,-74.00790500000001,40.674756,Brooklyn,360470085001003
110,HALSEY ST,-73.93257,40.683856,Brooklyn,360470295003000
111,SEAVIEW AV,-73.878351,40.643037,Brooklyn,360471058044003
112,Pennsylvania Av,-73.89319,40.662154,Brooklyn,360471128002001
113,Pennsylvania Av,-73.895934,40.671623,Brooklyn,360471144004003
114,JAMAICA AV,-73.886896,40.683248,Brooklyn,360471180001001
115,37 ST,-74.00318299999999,40.577118,Brooklyn,360470330001000
116,FLATBUSH AV,-73.955667,40.640684,Brooklyn,360470790004002
117,FOSTER AV,-73.966441,40.632357,Brooklyn,360470460003006
118,ALBANY AV,-73.93947299999999,40.656372999999995,Brooklyn,360470808001000
119,ALBANY AV,-73.939755,40.657552,Brooklyn,360470808001001
120,VANDERBILT AV,-73.968818,40.687548,Brooklyn,360470197003003
121,VANDERBILT AV,-73.968627,40.686575,Brooklyn,360470197003003
122,JAMAICA AV,-73.900058,40.677152,Brooklyn,360471142012012
123,DEKALB AV,-73.923794,40.699773,Brooklyn,360470429003001
124,DEKALB AV,-73.91967700000001,40.703963,Brooklyn,360470445002002
125,AV U,-73.960923,40.598256,Brooklyn,360470582002001
126,Coney Island Av,-73.96055,40.591887,Brooklyn,360470584002008
127,NOSTRAND AV,-73.94314399999999,40.607636,Brooklyn,360470564003002
128,SUTTER AV,-73.89834499999999,40.668983000000004,Brooklyn,360471134001000
129,PITKIN AV,-73.911167,40.669696,Brooklyn,360470924001000
130,ROCKAWAY AV,-73.908938,40.662256,Brooklyn,360470916001000
131,DEKALB AV,-73.925789,40.697734000000004,Brooklyn,360470423001004
132,ROCKAWAY AV,-73.909341,40.663833000000004,Brooklyn,360470924002006
133,RALPH AV,-73.922789,40.666795,Brooklyn,360470900007000
134,East New York Av,-73.91628399999999,40.669843,Brooklyn,360470902001002
135,East New York Av,-73.922916,40.666923,Brooklyn,360470900007000
136,ROCKAWAY AV,-73.911084,40.676009,Brooklyn,360470365011000
137,SHELL RD,-73.97403299999999,40.590410999999996,Brooklyn,360470386001006
138,Atlantic Av,-73.978716,40.684438,Brooklyn,360470039003000
139,HALSEY ST,-73.935475,40.68352,Brooklyn,360470275003000
140,NEW LOTS AV,-73.89945,40.659093,Brooklyn,360470920003000
141,Atlantic Av,-73.89665500000001,40.675888,Brooklyn,360471198001007
142,NEW LOTS AV,-73.892958,40.661978000000005,Brooklyn,360471128002001
143,SUTTER AV,-73.874212,40.672343,Brooklyn,360471210001000
144,FULTON ST,-73.94145,40.679871999999996,Brooklyn,360470271001004
145,SUTTER AV,-73.898629,40.668794,Brooklyn,360471134001005
146,Pennsylvania Av,-73.88476899999999,40.650411,Brooklyn,360471058043000
147,W 5 ST,-73.971802,40.579549,Brooklyn,360470356022000
148,THROOP AV,-73.941464,40.686009000000006,Brooklyn,360470277003000
149,BAY RIDGE PKWY,-74.007649,40.620326,Brooklyn,360470200002000
150,8 AV,-74.00344,40.641257,Brooklyn,360470108002000
151,REMSEN AV,-73.916387,40.649712,Brooklyn,360470930001003
152,BEVERLY RD,-73.92240799999999,40.646854,Brooklyn,360470936002002
153,JAMAICA AV,-73.874208,40.689139000000004,Brooklyn,360471176021000
