,LAW_CAT_CD,Latitude,Longitude
39,VIOLATION,40.793300943,-73.948764998
59,VIOLATION,40.670349221,-73.942107558
63,VIOLATION,40.595160563,-73.75320294699999
67,VIOLATION,40.794450815,-73.942581105
85,VIOLATION,40.768699239,-73.931671701
90,VIOLATION,40.72152437,-73.74898308
103,VIOLATION,40.644752079,-74.087241382
104,VIOLATION,40.626858064000004,-74.163443377
106,VIOLATION,40.73975965,-74.00252386300001
108,VIOLATION,40.832773975,-73.894096197
109,VIOLATION,40.651414613,-73.917754906
112,VIOLATION,40.701416549,-73.914468982
125,VIOLATION,40.68773221,-73.937491478
140,VIOLATION,40.680374267,-73.976205862
141,VIOLATION,40.759517253,-73.80410421
143,VIOLATION,40.72996004,-73.85058741600001
148,VIOLATION,40.794630309,-73.950869526
149,VIOLATION,40.859286427,-73.927800865
154,VIOLATION,40.828981339,-73.897759041
155,VIOLATION,40.666587627,-73.93967768600001
161,VIOLATION,40.617729168000004,-73.95488269100001
172,VIOLATION,40.754254698000004,-73.99938063399999
175,VIOLATION,40.849329456999996,-73.93373230600001
179,VIOLATION,40.646115230999996,-73.94715192
195,VIOLATION,40.63158335,-74.08622620199999
204,VIOLATION,40.76045773,-73.995341293
207,VIOLATION,40.596824231999996,-73.777556839
209,VIOLATION,40.854855924,-73.901138918
210,VIOLATION,40.687338778000004,-73.981817557
212,VIOLATION,40.7359933,-73.745803684
219,VIOLATION,40.71803315,-73.979745736
222,VIOLATION,40.757542529,-73.887151876
241,VIOLATION,40.715945906,-73.792548143
242,VIOLATION,40.645919361,-73.95807437399999
255,VIOLATION,40.838805984000004,-73.869175427
256,VIOLATION,40.81768474,-73.895438894
265,VIOLATION,40.669312786,-73.84123904399999
278,VIOLATION,40.707354054,-73.78913033
280,VIOLATION,40.751268883,-73.87985020100001
282,VIOLATION,40.697169212,-73.943746775
293,VIOLATION,40.769201798000005,-73.986640099
297,VIOLATION,40.88162236,-73.878309148
307,VIOLATION,40.840234138,-73.917684114
309,VIOLATION,40.816892135,-73.916379866
310,VIOLATION,40.655181335,-73.96113198
312,VIOLATION,40.741960877,-74.004609789
315,VIOLATION,40.840234138,-73.917684114
319,VIOLATION,40.634267142,-73.924614345
332,VIOLATION,40.637937014,-73.956703006
333,VIOLATION,40.577183815,-74.09372640000001
339,VIOLATION,40.858726821,-73.866555087
353,VIOLATION,40.644044421,-73.91341104600001
356,VIOLATION,40.636915081,-74.013466015
358,VIOLATION,40.712229008,-73.98683547899999
361,VIOLATION,40.67894167,-73.7960811
365,VIOLATION,40.811862362,-73.935500005
370,VIOLATION,40.600834475,-73.970285193
374,VIOLATION,40.660785804,-73.754391083
379,VIOLATION,40.852141187,-73.922375722
387,VIOLATION,40.631666999000004,-74.138300647
389,VIOLATION,40.89170002,-73.858325648
398,VIOLATION,40.814972446,-73.886205517
404,VIOLATION,40.772252144,-73.902788728
410,VIOLATION,40.653674996,-73.96278707
411,VIOLATION,40.854261635,-73.88480081600001
420,VIOLATION,40.708012993000004,-73.954363513
422,VIOLATION,40.729804435,-74.00214103100001
423,VIOLATION,40.703146266,-73.94163906899999
424,VIOLATION,40.694793746,-73.931343547
432,VIOLATION,40.589373635,-73.787072546
434,VIOLATION,40.841011576,-73.889019731
441,VIOLATION,40.800252085,-73.940437865
454,VIOLATION,40.587514489,-73.811705125
455,VIOLATION,40.887462664,-73.845821147
460,VIOLATION,40.823117640999996,-73.824114397
467,VIOLATION,40.708686124,-73.736284504
470,VIOLATION,40.752050587,-73.928743611
472,VIOLATION,40.609817866,-73.922499012
483,VIOLATION,40.800252583,-73.941409462
487,VIOLATION,40.651631255,-73.951115377
489,VIOLATION,40.855864023,-73.884281109
491,VIOLATION,40.813384453000005,-73.956270966
496,VIOLATION,40.622118165,-74.084063433
501,VIOLATION,40.596800942,-74.079098353
505,VIOLATION,40.821627397,-73.917237434
509,VIOLATION,40.863773113,-73.922195841
512,VIOLATION,40.817432855999996,-73.89021154
517,VIOLATION,40.621549026,-74.018639296
523,VIOLATION,40.694562189,-73.83551363800001
525,VIOLATION,40.66345806,-73.902831932
530,VIOLATION,40.745561049,-73.984569711
554,VIOLATION,40.699304218,-73.832955805
569,VIOLATION,40.766729419,-73.912691986
581,VIOLATION,40.856576728,-73.843893678
601,VIOLATION,40.834823080999996,-73.915977885
605,VIOLATION,40.699324157,-73.831570888
606,VIOLATION,40.798803805,-73.97170656600001
622,VIOLATION,40.668637618000005,-73.957259839
632,VIOLATION,40.759328903000004,-73.971297392
649,VIOLATION,40.793893058,-73.79654521100001
654,VIOLATION,40.821821426999996,-73.89587318699999
657,VIOLATION,40.633130705,-74.004850863
659,VIOLATION,40.770261784,-73.955761351
669,VIOLATION,40.616953781,-74.082241537
670,VIOLATION,40.846860364,-73.883266662
688,VIOLATION,40.691534376999996,-73.93376292
697,VIOLATION,40.769097361,-73.941924247
700,VIOLATION,40.644752079,-74.087241382
743,VIOLATION,40.697752173000005,-73.900661427
778,VIOLATION,40.758824028,-73.987548199
828,VIOLATION,40.607721011,-73.983013317
834,VIOLATION,40.628470366,-74.09031111899999
847,VIOLATION,40.695791716,-73.939095905
852,VIOLATION,40.583955563,-73.939442702
861,VIOLATION,40.814115058,-73.91718536100001
862,VIOLATION,40.808061135,-73.922481314
878,VIOLATION,40.665445949,-73.95161349899999
879,VIOLATION,40.58137495,-73.96452297399999
891,VIOLATION,40.65641151,-73.912209246
893,VIOLATION,40.846339589,-73.881283277
896,VIOLATION,40.617788796999996,-73.92675454
913,VIOLATION,40.714911527,-73.824111353
925,VIOLATION,40.831388571,-73.931235126
926,VIOLATION,40.599399987,-73.99646884
930,VIOLATION,40.653185393,-73.940698902
935,VIOLATION,40.844347445,-73.879136334
940,VIOLATION,40.886343589,-73.90501245
946,VIOLATION,40.869217233,-73.864342961
952,VIOLATION,40.669874185,-73.881121529
956,VIOLATION,40.832773975,-73.894096197
958,VIOLATION,40.734573791,-73.953760774
959,VIOLATION,40.847220988000004,-73.91990919
961,VIOLATION,40.808142838,-73.945300203
973,VIOLATION,40.560089845,-74.111394623
985,VIOLATION,40.669232552,-73.928294972
988,VIOLATION,40.84586773,-73.915888033
1017,VIOLATION,40.771645214,-73.890185934
1029,VIOLATION,40.821025398,-73.937604737
1038,VIOLATION,40.603843698,-74.109663394
1039,VIOLATION,40.865750264,-73.90186388800001
1040,VIOLATION,40.851316088000004,-73.902116523
1041,VIOLATION,40.856258661,-73.901364574
1042,VIOLATION,40.596355508,-74.076184732
1054,VIOLATION,40.852908430999996,-73.909340056
1062,VIOLATION,40.847931976999995,-73.916199883
1064,VIOLATION,40.869529696,-73.844423696
1066,VIOLATION,40.885433641,-73.90325974
1086,VIOLATION,40.789310287,-73.97383765100001
1095,VIOLATION,40.61691512,-74.03374103600001
1107,VIOLATION,40.63607856,-73.899330049
1109,VIOLATION,40.821380135,-73.95710393600001
1110,VIOLATION,40.712889645,-73.98078255
1124,VIOLATION,40.660954369,-73.908991798
1131,VIOLATION,40.576703151,-73.99452975
1132,VIOLATION,40.638867386,-73.956406943
1133,VIOLATION,40.823182133,-73.941674712
1145,VIOLATION,40.830722328,-73.827126059
1147,VIOLATION,40.702131742,-73.820466364
1153,VIOLATION,40.746836492,-73.858442435
1159,VIOLATION,40.638454741,-73.93189153600001
1163,VIOLATION,40.551090465,-74.14285499100001
1172,VIOLATION,40.579162625,-74.000372232
1181,VIOLATION,40.741175848000005,-73.855459252
1190,VIOLATION,40.685507472,-73.91770204
1197,VIOLATION,40.76597614,-73.911097341
1200,VIOLATION,40.687105004,-73.872595643
1201,VIOLATION,40.846752328,-73.896611261
1206,VIOLATION,40.62202006,-73.956918658
1208,VIOLATION,40.819817756999996,-73.955435761
1209,VIOLATION,40.637804468,-73.942377197
1233,VIOLATION,40.860104192,-73.868537034
1235,VIOLATION,40.887332818000004,-73.84725001300001
1238,VIOLATION,40.7522284,-73.97192485800001
1243,VIOLATION,40.756576344,-73.99027741399999
1250,VIOLATION,40.800561814,-73.958197308
1262,VIOLATION,40.663911599,-73.939928816
1278,VIOLATION,40.79845524,-73.948082015
1279,VIOLATION,40.649692613,-74.007338643
1294,VIOLATION,40.704731996,-73.940187784
1301,VIOLATION,40.821025398,-73.937604737
1302,VIOLATION,40.821025398,-73.937604737
1304,VIOLATION,40.872596365,-73.879551428
1324,VIOLATION,40.652390625,-73.97334354899999
1325,VIOLATION,40.847538593,-73.941447332
1335,VIOLATION,40.665843685,-73.91367111699999
1339,VIOLATION,40.602745950999996,-73.750077865
1340,VIOLATION,40.833493209000004,-73.858395386
1344,VIOLATION,40.57693115,-73.964644128
1347,VIOLATION,40.634228443000005,-73.949114104
1348,VIOLATION,40.836566051,-73.943054313
1349,VIOLATION,40.870567021999996,-73.866176986
1376,VIOLATION,40.902771023,-73.850947753
1385,VIOLATION,40.757192687,-73.833958474
1392,VIOLATION,40.865818411,-73.88921695100001
1394,VIOLATION,40.832161029,-73.91271453600001
1396,VIOLATION,40.669473221,-73.907805008
1401,VIOLATION,40.849863253,-73.93607763600001
1414,VIOLATION,40.696283825,-73.804358521
1430,VIOLATION,40.601097254,-74.092838084
1432,VIOLATION,40.797634875,-73.96314001100001
1438,VIOLATION,40.829692079000004,-73.940653616
1439,VIOLATION,40.640717532,-73.975481334
1443,VIOLATION,40.841107999,-73.88111552
1459,VIOLATION,40.612618212,-74.12877060699999
1461,VIOLATION,40.678103096,-73.95400542600001
1470,VIOLATION,40.789322359,-73.813994535
1473,VIOLATION,40.841921681,-73.893637095
1487,VIOLATION,40.596800942,-74.079098353
1493,VIOLATION,40.856576728,-73.843893678
1500,VIOLATION,40.579066706999996,-73.975575964
1502,VIOLATION,40.511586338,-74.249303727
1508,VIOLATION,40.687024772,-73.920815537
1510,VIOLATION,40.882586515,-73.902211522
1533,VIOLATION,40.593982185,-73.93918155899999
1534,VIOLATION,40.767128547,-73.897420782
1535,VIOLATION,40.733520799000004,-74.003533941
1544,VIOLATION,40.644752079,-74.087241382
1548,VIOLATION,40.702482133000004,-73.799922252
1554,VIOLATION,40.650815388000005,-73.949573551
1562,VIOLATION,40.819509618000005,-73.953582535
1582,VIOLATION,40.881168666,-73.867591313
1588,VIOLATION,40.707651079,-73.772155422
1592,VIOLATION,40.802717516,-73.936541904
1598,VIOLATION,40.704381569,-73.783275238
1617,VIOLATION,40.796444217,-73.964917615
1620,VIOLATION,40.751606695999996,-73.939683715
1630,VIOLATION,40.664031887,-73.909776986
1631,VIOLATION,40.818559244,-73.867683367
1632,VIOLATION,40.655771736999995,-74.013585152
1638,VIOLATION,40.677756138,-73.951290912
1644,VIOLATION,40.599399987,-73.99646884
1648,VIOLATION,40.749782057,-73.872948576
1660,VIOLATION,40.596134338,-73.93961890199999
1662,VIOLATION,40.663382884,-73.886665968
1664,VIOLATION,40.675157459,-73.911041751
1665,VIOLATION,40.742962354,-73.955274248
1667,VIOLATION,40.670097208,-73.874037622
1673,VIOLATION,40.716413935,-73.835957525
1674,VIOLATION,40.83985775,-73.874605258
1708,VIOLATION,40.676199324,-73.909565848
1741,VIOLATION,40.718429881,-73.899101048
1742,VIOLATION,40.676957455,-73.771395031
1744,VIOLATION,40.663460155,-73.942762342
1757,VIOLATION,40.639876842,-73.972040585
1774,VIOLATION,40.643606311999996,-74.077402584
1786,VIOLATION,40.638276474,-73.954389584
1794,VIOLATION,40.644752079,-74.087241382
1797,VIOLATION,40.579162625,-74.000372232
1820,VIOLATION,40.749157106,-73.988271828
1822,VIOLATION,40.720813298,-73.97813591100001
1826,VIOLATION,40.647128347,-74.08818142300001
1834,VIOLATION,40.677273361,-73.89147697199999
1841,VIOLATION,40.815267178,-73.920135503
1850,VIOLATION,40.625630556,-73.931007615
1866,VIOLATION,40.864328139,-73.868405762
1867,VIOLATION,40.846773229,-73.911871277
1876,VIOLATION,40.685413468,-73.975244957
1888,VIOLATION,40.574301425,-73.994072789
1897,VIOLATION,40.701356306,-73.89476659600001
1902,VIOLATION,40.667629873,-73.896254478
1921,VIOLATION,40.721822791,-73.975278333
1925,VIOLATION,40.891940063,-73.908480263
1926,VIOLATION,40.746660967,-73.87021170199999
1933,VIOLATION,40.681268322,-73.892876594
1958,VIOLATION,40.682910305,-73.950082901
1962,VIOLATION,40.593021971,-73.97908872
1964,VIOLATION,40.659419731999996,-73.741006235
1977,VIOLATION,40.835405549,-73.924783966
1979,VIOLATION,40.649692613,-74.007338643
1992,VIOLATION,40.611938046999995,-74.00717601699999
1999,VIOLATION,40.652463897,-73.936281181
2016,VIOLATION,40.601904692,-73.982388195
2026,VIOLATION,40.822039935,-73.891732267
2041,VIOLATION,40.675694328,-73.87451014
2048,VIOLATION,40.885846065,-73.84583936199999
2050,VIOLATION,40.752198698,-73.993465045
2079,VIOLATION,40.701994965,-73.899944612
2084,VIOLATION,40.680536156,-73.957086365
2100,VIOLATION,40.749292155999996,-74.00301145600001
2117,VIOLATION,40.65340384,-73.949849097
2118,VIOLATION,40.637284793,-73.952383355
2123,VIOLATION,40.737527836999995,-73.806655111
2138,VIOLATION,40.709323488,-73.874702926
2142,VIOLATION,40.841921681,-73.893637095
2143,VIOLATION,40.734419326,-73.787161132
2151,VIOLATION,40.826429,-73.914965919
2152,VIOLATION,40.868723823,-73.925252465
2154,VIOLATION,40.846919359,-73.938234659
2168,VIOLATION,40.685427946,-73.967276433
2172,VIOLATION,40.629903711,-73.906948196
2178,VIOLATION,40.711011735999996,-73.966614605
2188,VIOLATION,40.504866269000004,-74.248372493
2199,VIOLATION,40.659771641999995,-73.996840492
2205,VIOLATION,40.75818313,-73.97828607699999
2208,VIOLATION,40.819896954,-73.923341862
2210,VIOLATION,40.651422453,-73.83359464
2226,VIOLATION,40.842009305,-73.857784537
2227,VIOLATION,40.703542461,-73.91646073
2239,VIOLATION,40.693135826,-73.969320904
2250,VIOLATION,40.51012893,-74.23088922
2265,VIOLATION,40.690008127,-73.943785269
2268,VIOLATION,40.670097709000004,-73.884999937
2271,VIOLATION,40.693341105,-73.814100024
2284,VIOLATION,40.818166124,-73.906244198
2295,VIOLATION,40.76167385,-73.93859527
2298,VIOLATION,40.868723823,-73.925252465
2307,VIOLATION,40.617422986,-74.158427906
2309,VIOLATION,40.832741241,-73.921870763
2312,VIOLATION,40.761596626999996,-73.992186259
2313,VIOLATION,40.7330179,-73.901839265
2321,VIOLATION,40.84776253,-73.91346394600001
2325,VIOLATION,40.830610314,-73.94957461
2331,VIOLATION,40.759313185,-73.99570955899999
2365,VIOLATION,40.886141362,-73.84499602
2367,VIOLATION,40.837089667,-73.86138003100001
2375,VIOLATION,40.759139936,-73.990266211
2380,VIOLATION,40.73645057,-73.88043622800001
2387,VIOLATION,40.709258593,-73.760874551
