LAW_CAT_CD,Latitude,Longitude,FIPS
VIOLATION,40.876196208,-73.87330728399999,360050429021000
VIOLATION,40.816088874,-73.917688689,360050065004004
VIOLATION,40.763522977,-73.987074425,360610133002000
VIOLATION,40.609158036,-73.756572683,360811032011004
VIOLATION,40.61653235,-73.954660178,360470538002003
VIOLATION,40.638984176,-74.171252305,360850323001001
VIOLATION,40.846314083,-73.914481473,360050217001002
VIOLATION,40.848341256,-73.933545337,360610269004002
VIOLATION,40.711584739,-73.999171819,360610025001002
VIOLATION,40.827385306,-73.924496737,360050195002002
VIOLATION,40.509279251,-74.244868227,360850244012003
VIOLATION,40.728577935,-73.858087947,360810717012005
VIOLATION,40.843385929,-73.880941581,360050363003002
VIOLATION,40.708746766,-73.802125321,360810448001004
VIOLATION,40.784882304,-73.84628617899999,360810929004000
VIOLATION,40.62512439,-73.920748481,360470678002000
VIOLATION,40.637704209,-74.137120536,360850207001022
VIOLATION,40.637704209,-74.137120536,360850207001022
VIOLATION,40.684469899999996,-73.939787706,360470275001001
VIOLATION,40.684469899999996,-73.939787706,360470275001001
VIOLATION,40.759016359,-73.932649018,360810047001003
VIOLATION,40.604996661,-74.132929842,360850189023006
VIOLATION,40.879556723,-73.874230243,360050431002001
VIOLATION,40.607996248,-74.010694242,360470172002001
VIOLATION,40.697744181,-73.778673483,360810414001004
VIOLATION,40.714339858,-73.884173302,360810659002009
VIOLATION,40.604996661,-74.132929842,360850189023006
VIOLATION,40.854418879,-73.86293444100001,360050228002001
VIOLATION,40.684286567,-73.78301604100001,360810278002001
VIOLATION,40.874312176,-73.910077446,360610309001004
VIOLATION,40.636090744,-74.136724493,360850207002001
VIOLATION,40.87116005,-73.87875133600001,360050425002000
VIOLATION,40.612506806,-74.166372465,360850291042006
VIOLATION,40.666360304,-73.935525352,360470353003001
VIOLATION,40.803370498,-73.93606449,360610196003005
VIOLATION,40.610107064,-74.08757787399999,360850040001001
VIOLATION,40.838501539,-73.899500797,360050167001000
VIOLATION,40.586231405,-73.816011121,360810942022022
VIOLATION,40.702540323,-73.990162668,360470021001009
VIOLATION,40.848981025,-73.933985671,360610271002003
VIOLATION,40.765489555,-73.913700801,360810143002000
VIOLATION,40.663500558,-73.926873758,360470884001001
VIOLATION,40.656693553000004,-73.960669772,360470798023000
VIOLATION,40.601699102,-73.984239237,360470406001002
VIOLATION,40.604381959,-73.757818141,360811008022000
VIOLATION,40.662562754,-73.908921119,360470912003001
VIOLATION,40.686912430999996,-73.944624411,360470265002001
VIOLATION,40.676174472,-73.998883843,360470065007000
VIOLATION,40.692125551,-73.843914493,360810028002000
VIOLATION,40.859339794,-73.900007958,360050237033000
VIOLATION,40.840974994,-73.939505111,360610251001000
VIOLATION,40.668897201,-73.898480256,360471134001000
VIOLATION,40.620591782,-74.038094307,360470052011004
VIOLATION,40.707097978,-73.945714943,360470505002002
VIOLATION,40.708737697,-73.787787779,360810462002004
VIOLATION,40.7883365,-73.939079866,360610162003001
VIOLATION,40.684212231,-73.968055838,360470199004001
VIOLATION,40.758368992,-73.938248185,360810043002005
VIOLATION,40.591439617,-73.78958638,360810964002003
VIOLATION,40.878774034,-73.919882031,360050293022004
VIOLATION,40.83619424,-73.946111937,360610247002000
VIOLATION,40.680022580999996,-73.94957309899999,360470247002000
VIOLATION,40.750897813,-73.99626231,360610103001011
VIOLATION,40.677638087,-73.820932483,360810102001000
VIOLATION,40.814115058,-73.91718536100001,360050043002004
VIOLATION,40.693539053,-73.755550602,360810528001001
VIOLATION,40.693539053,-73.755550602,360810528001001
VIOLATION,40.606904125999996,-74.006624458,360470180002000
VIOLATION,40.800855144,-73.938945604,360610196002001
VIOLATION,40.705489697,-73.897555304,360810585001000
VIOLATION,40.863086498,-73.925692637,360610291005000
VIOLATION,40.863828346,-73.836056669,360050310002001
VIOLATION,40.822281823000004,-73.901299316,360050129012000
VIOLATION,40.648159153,-73.958206302,360470510021002
VIOLATION,40.702707507,-73.942440119,360470491003003
VIOLATION,40.836612833000004,-73.864315481,360050216012000
VIOLATION,40.668731148,-73.929737415,360470349002000
