,NAME,LINE,Longitude,Latitude,FIPS
0,Birchall Ave & Sagamore St at NW corner,5-Feb,-73.868356,40.849169,3.60E+14
1,Birchall Ave & Sagamore St at NE corner,5-Feb,-73.868213,40.849128,3.60E+14
2,Morris Park Ave & 180th St at NW corner,5-Feb,-73.873499,40.841223,3.60E+14
3,Morris Park Ave & 180th St at NW corner,5-Feb,-73.872892,40.841453,3.60E+14
4,Boston Rd & 178th St at SW corner,5-Feb,-73.879623,40.840815,3.60E+14
5,Boston Rd & E Tremont Ave at NW corner,5-Feb,-73.880005,40.840434,3.60E+14
6,Boston Rd & E Tremont Ave at NE corner,5-Feb,-73.879833,40.840354,3.60E+14
7,Boston Rd & 178th St at SE corner,5-Feb,-73.879555,40.840639,3.60E+14
8,Boston Rd & 178th St at NW corner,5-Feb,-73.879397,40.841078,3.60E+14
9,Boston Rd & 174th St at SW corner,5-Feb,-73.888048,40.837325,3.60E+14
10,Boston Rd & 174th St at NW corner,5-Feb,-73.887755,40.837599,3.60E+14
11,Southern Blvd & Freeman St at SW corner,5-Feb,-73.89202,40.829903,3.60E+14
12,Southern Blvd & Freeman St at NW corner,5-Feb,-73.892015,40.830369,3.60E+14
13,Westchester Ave & Simpson St at NE corner,5-Feb,-73.892897,40.824356,3.60E+14
14,Westchester Ave & Simpson St at NW corner,5-Feb,-73.893114,40.824177,3.60E+14
15,Westchester Ave & Simpson St at NE corner,5-Feb,-73.892724,40.824358,3.60E+14
16,Intervale Ave & Westchester Ave at NE corner,5-Feb,-73.896508,40.8224,3.60E+14
17,Intervale Ave & Westchester Ave at NE corner,5-Feb,-73.896719,40.822447,3.60E+14
18,Intervale Ave & Westchester Ave at SE corner,5-Feb,-73.896681,40.822095,3.60E+14
19,Westchester & 160th St at SW corner,5-Feb,-73.901958,40.819583,3.60E+14
20,Prospect Ave & 160th St at NW corner,5-Feb,-73.901666,40.819887,3.60E+14
21,Jackson Ave & 152nd St at NE corner,5-Feb,-73.907942,40.816201,3.60E+14
22,Jackson Ave & 152nd St at NE corner,5-Feb,-73.907836,40.816349,3.60E+14
23,Jackson Ave & Westchester Ave at NE corner,5-Feb,-73.907893,40.816589,3.60E+14
24,Jackson Ave & Westchester Ave at NW corner,5-Feb,-73.907379,40.816873,3.60E+14
25,Melrose Ave & 149th St at NW corner,5-Feb,-73.917798,40.816247,3.60E+14
26,Melrose Ave & 149th St at NE corner,5-Feb,-73.917543,40.816315,3.60E+14
