,NAME,Longitude,Latitude,LINE,FIPS
0,Astor Pl,-73.99107,40.730054,4-6-6 Express,360610057001002.00
1,Canal St,-74.000193,40.718803,4-6-6 Express,360610045001011.00
2,50th St,-73.983849,40.761728,2-Jan,360610131001004.00
3,Bergen St,-73.97499915,40.68086214,2/3/04,360470129021004.00
4,Pennsylvania Ave,-73.89488591,40.66471445,4-Mar,360471126003000.00
5,238th St,-73.90087,40.884667,1,360050283002005.00
6,Cathedral Pkwy (110th St),-73.95806671,40.80058156,A-B-C,360610216005002.00
7,Kingston - Throop Aves,-73.940859,40.679919,A-C,360470269002001.00
8,65th St,-73.89878838,40.74971953,E-M-R,360810261001001.00
9,36th St,-73.92901818,40.75196004,E-M-R,360810171001004.00
10,Delancey St - Essex St,-73.9874094,40.71830606,J-M-Z,360610014021001.00
11,Van Siclen Ave,-73.89165773,40.67802821,J-Z,360471198003002.00
12,Norwood Ave,-73.879626,40.68152,J-Z,360471174002004.00
13,104th-102nd Sts,-73.844435,40.695166,J-Z,360810028001000.00
14,DeKalb Ave,-73.98177094,40.69064812,B-D-N-Q-R,360470031002000.00
15,Beach 105th St,-73.82758075,40.58326844,A-S,360810938003003.00
16,Beach 90th St,-73.8136514,40.58809156,A-S,360810942022005.00
17,Freeman St,-73.89175225,40.82998745,5-Feb,360050125001000.00
18,Intervale Ave,-73.89661738,40.82214213,5-Feb,360050087005000.00
19,182nd-183rd Sts,-73.900741,40.856093,B-D,360050383011001.00
20,174th-175th Sts,-73.910136,40.8459,B-D,360050229011001.00
21,167th St,-73.918432,40.833769,B-D,360050197005000.00
22,Mets - Willets Point,-73.845625,40.754622,7-7 Express,360810383021052.00
23,Junction Blvd,-73.869527,40.749145,7-7 Express,360810465001000.00
24,Flushing - Main St,-73.83003,40.7596,7-7 Express,360810871002004.00
25,Buhre Ave,-73.832569,40.84681,6-6 Express,360050266011000.00
26,3rd Ave - 138th St,-73.926138,40.810476,6-6 Express,360050023001003.00
27,Castle Hill Ave,-73.851222,40.834255,6-6 Express,360050206011003.00
28,Brooklyn Bridge - City Hall,-74.004131,40.713065,4-5-6-6 Express,360610031001021.00
29,Zerega Ave,-73.847036,40.836488,6-6 Express,360050096002027.00
30,Grand Central - 42nd St,-73.9767133,40.75180743,4-5-6-6 Express,360610092001009.00
31,33rd St,-73.982076,40.746081,4-6-6 Express,360610074002001.00
32,96th St,-73.95107,40.785672,4-6-6 Express,360610158011000.00
33,77th St,-73.959874,40.77362,4-6-6 Express,360610128004000.00
34,Chauncey St,-73.91038357,40.6828513,J-Z,360470369004000.00
35,Union St,-73.98311,40.67731567,D-N-R,360470119003001.00
36,Elmhurst Ave,-73.88203475,40.74237008,E-M-R,360810481004001.00
37,Ralph Ave,-73.920786,40.678822,A-C,360470301003001.00
38,Pelham Pkwy,-73.86748068,40.85719241,5-Feb,360050224031001.00
39,Gun Hill Rd,-73.86613411,40.87783939,5-Feb,360050378003004.00
40,Nereid Ave (238 St),-73.85431531,40.89828652,5-Feb,360050434002002.00
41,Franklin Ave,-73.95809974,40.67076515,2-3-4-5,360470217002003.00
42,Simpson St,-73.8930664,40.82397684,5-Feb,360050159001001.00
43,Bronx Park East,-73.86835609,40.84876867,5-Feb,360050220001000.00
44,Winthrop St,-73.95007935,40.65665931,5-Feb,360470804003002.00
45,Van Siclen Ave,-73.88940492,40.66551796,4-Mar,360471124003001.00
46,149th St - Grand Concourse,-73.92738475,40.81830344,4,360050051001002.00
47,161st St - Yankee Stadium,-73.925692,40.82823033,4,360050195002004.00
48,Lexington Ave - 59th St,-73.967967,40.762526,4-5-6-6 Express,360610114022003.00
49,E 149th St,-73.904098,40.812118,6,360050083005000.00
50,Morrison Av - Soundview,-73.874516,40.829521,6,360050048001001.00
